Mês;Ano de din_instante; Fator de Carga ;data
janeiro;2022; 0,2336 ;jan/22
fevereiro;2022; 0,2500 ;fev/22
março;2022; 0,2451 ;mar/22
abril;2022; 0,2486 ;abr/22
maio;2022; 0,2281 ;mai/22
junho;2022; 0,2271 ;jun/22
julho;2022; 0,2321 ;jul/22
agosto;2022; 0,2511 ;ago/22
setembro;2022; 0,2651 ;set/22
outubro;2022; 0,2669 ;out/22
novembro;2022; 0,2301 ;nov/22
dezembro;2022; 0,2400 ;dez/22
janeiro;2021; 0,2282 ;jan/21
fevereiro;2021; 0,2007 ;fev/21
março;2021; 0,2441 ;mar/21
abril;2021; 0,2309 ;abr/21
maio;2021; 0,2310 ;mai/21
junho;2021; 0,2391 ;jun/21
julho;2021; 0,2243 ;jul/21
agosto;2021; 0,2079 ;ago/21
setembro;2021; 0,2490 ;set/21
outubro;2021; 0,2445 ;out/21
novembro;2021; 0,2384 ;nov/21
dezembro;2021; 0,2207 ;dez/21
janeiro;2020; 0,2139 ;jan/20
fevereiro;2020; 0,2081 ;fev/20
março;2020; 0,2098 ;mar/20
abril;2020; 0,2200 ;abr/20
maio;2020; 0,2145 ;mai/20
junho;2020; 0,2210 ;jun/20
julho;2020; 0,2245 ;jul/20
agosto;2020; 0,2277 ;ago/20
setembro;2020; 0,2372 ;set/20
outubro;2020; 0,2187 ;out/20
novembro;2020; 0,2054 ;nov/20
dezembro;2020; 0,2094 ;dez/20
janeiro;2019; 0,2761 ;jan/19
fevereiro;2019; 0,2434 ;fev/19
março;2019; 0,2345 ;mar/19
abril;2019; 0,2294 ;abr/19
maio;2019; 0,2294 ;mai/19
junho;2019; 0,2350 ;jun/19
julho;2019; 0,2390 ;jul/19
agosto;2019; 0,2690 ;ago/19
setembro;2019; 0,2973 ;set/19
outubro;2019; 0,2864 ;out/19
novembro;2019; 0,2647 ;nov/19
dezembro;2019; 0,2571 ;dez/19
janeiro;2018; 0,2370 ;jan/18
fevereiro;2018; 0,2087 ;fev/18
março;2018; 0,2267 ;mar/18
abril;2018; 0,2164 ;abr/18
maio;2018; 0,2314 ;mai/18
junho;2018; 0,2366 ;jun/18
julho;2018; 0,2619 ;jul/18
agosto;2018; 0,2647 ;ago/18
setembro;2018; 0,2863 ;set/18
outubro;2018; 0,2607 ;out/18
novembro;2018; 0,2226 ;nov/18
dezembro;2018; 0,2327 ;dez/18
janeiro;2017; 0,2110 ;jan/17
fevereiro;2017; 0,2018 ;fev/17
março;2017; 0,1594 ;mar/17
abril;2017; 0,0451 ;abr/17
maio;2017; 0,0804 ;mai/17
junho;2017; 0,1676 ;jun/17
julho;2017; 0,1817 ;jul/17
agosto;2017; 0,1761 ;ago/17
setembro;2017; 0,1489 ;set/17
outubro;2017; 0,2650 ;out/17
novembro;2017; 0,2081 ;nov/17
dezembro;2017; 0,2186 ;dez/17
janeiro;2016; 0,1705 ;jan/16
fevereiro;2016; 0,2193 ;fev/16
março;2016; 0,2244 ;mar/16
abril;2016; 0,1819 ;abr/16
maio;2016; 0,1552 ;mai/16
junho;2016; 0,1530 ;jun/16
julho;2016; 0,1682 ;jul/16
agosto;2016; 0,1973 ;ago/16
setembro;2016; 0,2182 ;set/16
outubro;2016; 0,2212 ;out/16
novembro;2016; 0,2157 ;nov/16
dezembro;2016; 0,1872 ;dez/16
