Data;Garantia física;Geração;GSF
01/11/2013;44249,29686;46918,16;1,06031425
01/12/2013;44653,47377;48290,10722;1,081441222
01/01/2014;52528,08962;51849,51972;0,987081771
01/02/2014;50322,50667;50765,84391;1,00880992
01/03/2014;49371,20938;46762,66618;0,947164689
01/04/2014;45745,1643;45209,87733;0,988298501
01/05/2014;44480,4062;41661,57053;0,936627475
01/06/2014;44738,36958;40344,54771;0,901788512
01/07/2014;46866,16533;40404,50349;0,862125228
01/08/2014;47812,22299;39225,92084;0,82041617
01/09/2014;48354,33336;41848,59194;0,86545691
01/10/2014;48227,11767;42341,92574;0,877969238
01/11/2014;48123,86351;42201,86654;0,876942611
01/12/2014;47455,79314;41735,80581;0,879467038
01/01/2015;58609,89776;47244,84371;0,80608985
01/02/2015;58409,19644;45864,48814;0,785227172
01/03/2015;57615,91914;45078,52404;0,78239703
01/04/2015;51202,16661;42208,39414;0,824347814
01/05/2015;48668,05739;39935,99834;0,820579256
01/06/2015;47596,83507;37745,20388;0,793019196
01/07/2015;39843,47777;38861,65032;0,975357888
01/08/2015;45725,14713;38746,87347;0,847386524
01/09/2015;45929,51949;40450,88674;0,880716524
01/10/2015;46236,98181;42702,12582;0,923549162
01/11/2015;46024,77058;42361,12738;0,920398447
01/12/2015;45419,54327;43066,15977;0,948185664
01/01/2016;57970,84798;45717,45319;0,788628333
01/02/2016;55320,81936;50224,03171;0,907868544
01/03/2016;53076,1478;50137,99445;0,944642679
01/04/2016;51168,99123;47947,82659;0,937048502
01/05/2016;49644,73728;44115,62463;0,888626409
01/06/2016;50031,7735;42703,18048;0,853521222
01/07/2016;49460,96231;42032,7615;0,849816897
01/08/2016;49959,03247;41711,13953;0,834906872
01/09/2016;51017,73009;40864,46574;0,800985572
01/10/2016;50311,34844;41333,83275;0,821560821
01/11/2016;50231,90668;42727,46904;0,850604165
01/12/2016;48250,45161;47207,01821;0,97837464
01/01/2017;48001,20287;51186,68421;1,066362532
01/02/2017;46257,49062;53951,5494;1,166331089
01/03/2017;47556,27543;51570,4744;1,084409448
01/04/2017;46672,64258;44209,98507;0,947235524
01/05/2017;53912,77557;42898,67222;0,795705132
01/06/2017;54594,81297;42652,64844;0,781258257
01/07/2017;58430,30497;37373,86891;0,639631591
01/08/2017;59943,52922;36173,26031;0,603455632
01/09/2017;60543,84014;37070,23244;0,612287433
01/10/2017;60847,91098;37842,6138;0,621921331
01/11/2017;59470,96592;39754,6752;0,668471994
01/12/2017;55925,67066;44501,42689;0,79572451
01/01/2018;46428,2334;49603,63904;1,06839385
01/02/2018;45714,39615;51950,1904;1,13640767
01/03/2018;45789,41949;53660,95814;1,171907369
01/04/2018;49017,61104;48934,48787;0,998304218
01/05/2018;51154,1127;43125,18687;0,843044373
01/06/2018;54773,67882;38843,27037;0,709159421
01/07/2018;60703,791;36964,11291;0,608925939
01/08/2018;64694,71321;37188,52037;0,574830902
01/09/2018;65492,81393;36549,41392;0,558067545
01/10/2018;63859,10428;43247,54511;0,67723382
01/11/2018;60401,88366;47542,29415;0,787099529
01/12/2018;51044,7173;50789,91952;0,995008342
01/01/2019;33934,73021;55149,89531;1,625175594
01/02/2019;35412,47679;52610,35675;1,485644652
01/03/2019;37609,3198;51465,58625;1,368426404
01/04/2019;42458,40246;50597,88691;1,191704915
01/05/2019;51148,01858;47321,1815;0,925181128
01/06/2019;62539,81802;42139,03277;0,673795257
01/07/2019;70250,28514;38509,34187;0,54817346
01/08/2019;72720,76505;35605,25946;0,489616129
01/09/2019;72355,57084;38572,3678;0,533094651
01/10/2019;69781,482;40627,84396;0,582215264
01/11/2019;61666,91774;41370,80192;0,670875137
01/12/2019;51011,04874;43920,09739;0,860991853
01/01/2020;57095,03174;49434,06656;0,865820809
01/02/2020;50605,87098;53212,35769;1,051505619
01/03/2020;42605,36982;52692,77154;1,236763623
01/04/2020;41531,08391;43232,07437;1,040957045
01/05/2020;42595,09297;40730,83124;0,956232946
01/06/2020;52783,8516;40380,4451;0,76501513
01/07/2020;61709,40655;42493,35811;0,688604226
01/08/2020;66315,8416;41667,00049;0,628311418
01/09/2020;68507,70903;45379,76701;0,662403803
01/10/2020;66864,82907;42752,03636;0,639380029
01/11/2020;62342,31356;39246,04561;0,629525011
01/12/2020;52797,72508;42508,52419;0,805120375
01/01/2021;66683,19177;44878,20879;0,673006309
01/02/2021;58083,44207;50582,33745;0,870856403
01/03/2021;46501,41754;51827,23178;1,114530148
01/04/2021;38688,90376;46016,01929;1,189385452
01/05/2021;38236,45648;42505,258;1,111642184
01/06/2021;52348,8307;36690,37218;0,700882363
01/07/2021;60194,24321;32402,39565;0,538297251
01/08/2021;64007,82373;30932,84188;0,483266577
01/09/2021;64894,98677;33439,79559;0,515290892
01/10/2021;63869,41884;33530,40835;0,524983771
01/11/2021;60759,72825;38796,85411;0,638529092
01/12/2021;50523,11093;43868,37977;0,868283424
01/01/2022;52287,76927;49682,33339;0,950171217
01/02/2022;56271,61487;53376,55907;0,948552111
01/03/2022;56314,25947;54691,95808;0,971191996
01/04/2022;48639,42509;51533,89501;1,05950872
01/05/2022;47034,2824;47121,47635;1,001853838
01/06/2022;54975,85867;45655,44745;0,830463563
01/07/2022;55317,95745;43092,43804;0,778995466
01/08/2022;54603,0122;41652,4074;0,762822521
01/09/2022;59176,16207;41907,59716;0,708183763
01/10/2022;61023,9179;42495,88201;0,696380755
01/11/2022;61754,98;48074,23213;0,778467293
